id,name,short_name,country,type,region,group,lei,tickers,fdic_cert,peer_group,active
barclays,Barclays PLC,Barclays,GB,holding,uk,,213800LBQA1Y9L22JB70,BARC.L,,uk_large,true
barclays-bank,Barclays Bank PLC,Barclays Bank,GB,bank,uk,barclays,G5GSEF7VJP5I7OUK5573,,,uk_large,true
barclays-bank-uk,Barclays Bank UK PLC,Barclays Bank UK,GB,bank,uk,barclays,213800UUGANOMFJ9X769,,,uk_large,true
hsbc-holdings,HSBC Holdings plc,HSBC Holdings,GB,holding,uk,,MLU0ZO3ML4LN2LL2TL39,HSBA.L,,uk_large,true
hsbc-uk,HSBC UK Bank plc,HSBC UK,GB,bank,uk,hsbc-holdings,21380081EP12LC86CB82,,,uk_large,true
hsbc-bank,HSBC Bank plc,HSBC Bank,GB,bank,uk,hsbc-holdings,MP6I5ZYZBEU3UXPYFY54,,,uk_large,true
lloyds-banking-group,Lloyds Banking Group plc,Lloyds Banking Group,GB,holding,uk,,549300PPXHEU2JF0AM85,LLOY.L,,uk_large,true
lloyds-bank,Lloyds Bank plc,Lloyds Bank,GB,bank,uk,lloyds-banking-group,H7FNTJ4851HG0EXQ1Z70,,,uk_large,true
bank-of-scotland,Bank of Scotland plc,Bank of Scotland,GB,bank,uk,lloyds-banking-group,OQ3T05P7YR8P5YJEVI93,,,uk_large,true
natwest-group,NatWest Group plc,NatWest Group,GB,holding,uk,,2138005O9XJIJN4JPN90,NWG.L,,uk_large,true
natwest-bank,National Westminster Bank Plc,NatWest Bank,GB,bank,uk,natwest-group,213800IBT39XQ9C4CP71,,,uk_large,true
natwest-markets,NatWest Markets Plc,NatWest Markets,GB,bank,uk,natwest-group,RR3QWICWWIPCS8A4S074,,,uk_large,true
standard-chartered,Standard Chartered PLC,Standard Chartered,GB,holding,uk,,U4LOSYZ7YG4W3S5F2G91,STAN.L,,uk_large,true
santander-uk,Santander UK plc,Santander UK,GB,bank,uk,banco-santander,PTCQB104N23FMNK2RZ28,,,uk_large,true
virgin-money-uk,Virgin Money UK PLC,Virgin Money UK,GB,bank,uk,nationwide,213800ZK9VGCYYR6O495,,,uk_mid,true
clydesdale-bank,Clydesdale Bank PLC,Clydesdale Bank,GB,bank,uk,nationwide,NHXOBHMY8K53VRC7MZ54,,,uk_mid,true
tsb,TSB Bank plc,TSB,GB,bank,uk,banco-santander,549300XP222MV7P3CC54,,,uk_mid,true
